dataset,region,noise,arm,mae,mae_p,err_in,err_in_p,ph
medical_charges,hard_sparse,outlier,jtt,-48.17564919559631,1.7763568394002505e-15,-15.919847766670681,3.623269506647375e-08,2.1316282072803006e-14
medical_charges,hard_sparse,outlier,rho,4.696295126158531,2.670359481982132e-06,2.251190699258237,2.0810681753857807e-05,1.335179740991066e-05
medical_charges,hard_sparse,outlier,rho_a1,2.371019356389072,0.052989788310034314,0.7389661129269557,0.20103473802823935,0.052989788310034314
medical_charges,hard_sparse,outlier,ws_default,1.7528408897148302,0.02420949942225903,1.2021123032783851,0.011200519477185367,0.04841899884451806
medical_charges,hard_sparse,outlier,ws_tuned,4.599733133795627,1.757493883758343e-08,2.4243746389614933,0.002356807144249018,1.0544963302550059e-07
medical_charges,hard_sparse,outlier,rho_landscape_a1,3.551161598959669,0.002614123910062105,-0.4594653447634295,0.5786292137562761,0.007842371730186315
medical_charges,hard_sparse,outlier,rho_filter_a1,4.017927010960037,1.4422642710343325e-05,1.2598808848089735,0.215052456193769,5.76905708413733e-05
medical_charges,hard_sparse,outlier,all_data,9.275987743288514,1.9539925233402755e-13,3.7297893801952093,1.6183291151605772e-08,1.5631940186722204e-12
medical_charges,sparse_all,clean,uniform,2.7407818066288656,5.897913268881894e-10,3.02570691798409,0.020120643634562896,5.897913268881894e-09
medical_charges,sparse_all,clean,kcenter,2.60026700364953,1.4895306321704993e-08,4.602956262088066,0.04830953815983641,1.3405775689534494e-07
medical_charges,sparse_all,clean,kcenter_a1,2.733507583158999,3.486415511844143e-07,4.601350893761579,0.024847675451864504,2.4404908582909e-06
medical_charges,sparse_all,clean,loss,-9.26662187447901,3.552713678800501e-15,-8.41671629039802,8.87296791773906e-06,3.907985046680551e-14
medical_charges,sparse_all,clean,jtt,-22.800208434725615,1.7763568394002505e-15,-21.38159772389502,4.057499225496031e-09,2.1316282072803006e-14
medical_charges,sparse_all,clean,rho,1.8749890047575566,7.500770700019643e-05,3.597843596595562,0.045027510990479414,0.00037503853500098217
medical_charges,sparse_all,clean,rho_a1,0.4718048489595355,0.43191110415215306,1.5478112557905763,0.34720687274462314,0.43191110415215306
medical_charges,sparse_all,clean,ws_default,1.2687398029174983,0.002614123910062105,2.3177189061240595,0.25308251223662737,0.007842371730186315
medical_charges,sparse_all,clean,ws_tuned,2.0726550943618047,1.9760169596594324e-05,2.5316640782755915,0.27798803015155293,0.00011856101757956594
medical_charges,sparse_all,clean,rho_landscape_a1,0.9826018819929142,0.09709384967839618,2.7351522877500285,0.1329605561585705,0.19418769935679236
medical_charges,sparse_all,clean,rho_filter_a1,2.459524759622747,6.710043898294771e-08,3.0404080543894505,0.16888071753563239,5.368035118635817e-07
medical_charges,sparse_all,clean,all_data,2.479981674376998,0.0011471783973160399,4.555231740840407,0.0857934137886982,0.0045887135892641595
medical_charges,sparse_all,outlier,uniform,8.760427651170831,7.65609797781508e-12,10.900480801379715,0.004043947968749961,6.124878382252064e-11
