dataset,region,noise,seed,region_share_R,detector,mae,err_in,secs,prec,error
synth2d,hard,clean,6203,0.11333333333333333,kNN + GPR (mean),0.12792115085193886,0.34294063585611434,4.727767705917358,0.23893805309734514,
synth2d,hard,clean,6203,0.11333333333333333,kNN + Quantile (mean),0.12499306857512434,0.36307702275910864,0.30367493629455566,0.23008849557522124,
synth2d,hard,clean,6203,0.11333333333333333,Anchored GPR (QR prior),0.11859884810038199,0.35708471369791395,5.2651591300964355,0.2345132743362832,
synth2d,hard,clean,6203,0.11333333333333333,Gated GPR (QR anchor),0.12829028145550198,0.3453410002375598,5.518637180328369,0.28761061946902655,
synth2d,hard,clean,6203,0.11333333333333333,QR × GPR (geometric),0.13758336949193467,0.34839675464389586,5.444392204284668,0.11333333333333333,
synth2d,hard,clean,6203,0.11333333333333333,EVT × GPR (geometric),0.11790454562417449,0.3444453276613468,4.385527610778809,0.24778761061946902,
synth2d,hard,clean,6203,0.11333333333333333,GPR/kNN (variance-weighted),0.12288681750026986,0.3534122333465863,4.315174579620361,0.23893805309734514,
synth2d,hard,clean,6203,0.11333333333333333,GPR/kNN (disagreement-amplified),0.14633188956868246,0.34551001349240257,5.264174222946167,0.23893805309734514,
synth2d,hard,clean,6203,0.11333333333333333,Local GPR (QR-localised),0.13106645907001638,0.347757942794303,2.217714309692383,0.23008849557522124,
synth2d,hard,clean,6204,0.11,random,0.1353853844194365,0.4358208610131582,,,
synth2d,hard,clean,6204,0.11,"kNN (LOO, default)",0.13150520220580542,0.4170046004967846,0.01355290412902832,0.19555555555555557,
synth2d,hard,clean,6204,0.11,Gaussian Process Regression,0.13394992257155205,0.425799660473405,5.559880495071411,0.24778761061946902,
synth2d,hard,clean,6204,0.11,Polynomial Response Surface,0.12573099561819387,0.434135167290159,0.014096498489379883,0.0,
synth2d,hard,clean,6204,0.11,RBF Interpolation,0.12259019692983114,0.43309889904160276,0.051660776138305664,0.24336283185840707,
synth2d,hard,clean,6204,0.11,kNN Performance Mapping,0.12611455691578685,0.4176906560076967,0.023600339889526367,0.2079646017699115,
synth2d,hard,clean,6204,0.11,LOESS Local Regression,0.13099937009963647,0.44348876053178166,0.34688425064086914,0.004424778761061947,
synth2d,hard,clean,6204,0.11,Quantile Regression,0.13652462016743697,0.4360301262161647,0.14242935180664062,0.1413673232908459,
synth2d,hard,clean,6204,0.11,Peaks over Threshold (EVT),0.1252283648547058,0.42815826191288925,0.040285348892211914,0.22566371681415928,
synth2d,hard,clean,6204,0.11,Bayesian Optimization (EI),0.12896511219534784,0.42919421163665633,6.070135593414307,0.18141592920353983,
synth2d,hard,clean,6204,0.11,kNN + GPR (mean),0.12712913006117793,0.41678507877701026,4.586188793182373,0.22123893805309736,
synth2d,hard,clean,6204,0.11,kNN + Quantile (mean),0.13091126253210753,0.4280648732084099,0.2653810977935791,0.34513274336283184,
